domain,system,question_no,question_id,prompt_type,thinking_level,input_tokens_mean,input_tokens_std,input_tokens_var,input_tokens_count,output_tokens_mean,output_tokens_std,output_tokens_var,output_tokens_count,reasoning_tokens_mean,reasoning_tokens_std,reasoning_tokens_var,reasoning_tokens_count,cached_tokens_mean,cached_tokens_std,cached_tokens_var,cached_tokens_count,tool_tokens_mean,tool_tokens_std,tool_tokens_var,tool_tokens_count,total_tokens_mean,total_tokens_std,total_tokens_var,total_tokens_count,cost_usd_mean,cost_usd_std,cost_usd_var,cost_usd_count,latency_s_mean,latency_s_std,latency_s_var,latency_s_count
cyber_loghub,Hadoop,3,q3_container,garbage,high,184646.0,0.0,0.0,3,340.3333333333333,107.68627272467617,11596.333333333334,3,1051.3333333333333,65.65312889218102,4310.333333333334,3,16381.666666666666,28373.87897932416,805077008.3333334,3,0.0,0.0,0.0,3,186037.66666666666,170.57940477482578,29097.333333333852,3,0.356505,0.05309693417703137,0.0028192844190000014,3,22.502,2.8221971936772943,7.964796999999995,3
cyber_loghub,Hadoop,3,q3_container,garbage,low,184646.0,0.0,0.0,3,220.0,25.98076211353316,675.0,3,642.6666666666666,7.505553499465143,56.33333333333346,3,60063.666666666664,104033.32235554786,10822932160.333334,3,0.0,0.0,0.0,3,185508.66666666666,33.48631561300039,1121.333333333474,3,0.27152933333333334,0.18705950152112918,0.03499125710933333,3,14.852666666666666,2.3742738539042474,5.637176333333327,3
cyber_loghub,Windows,1,q1_sqm,context,high,1055.0,0.0,0.0,3,400.6666666666667,49.65212315030782,2465.333333333334,3,1142.3333333333333,16.743157806499163,280.3333333333339,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,2598.0,32.90896534380867,1083.0,3,0.020626000000000002,0.00039490758412570587,1.5595200000000145e-07,3,13.618666666666668,0.08729452063751485,0.007620333333333507,3
cyber_loghub,Windows,1,q1_sqm,context,low,1055.0,0.0,0.0,3,245.33333333333334,2.309401076758499,5.333333333333314,3,465.3333333333333,110.27390141521852,12160.333333333332,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,1765.6666666666667,107.96450033846006,11656.333333333341,3,0.010638,0.0012955740040615196,1.6785119999999985e-06,3,8.024,0.3479497090097937,0.12106900000000013,3
cyber_loghub,Windows,1,q1_sqm,full,high,121800.0,0.0,0.0,3,232.0,50.22947341949744,2523.0,3,449.6666666666667,98.14954576223639,9633.333333333334,3,38222.0,66202.44596689763,4382763852.0,3,0.0,0.0,0.0,3,122481.66666666667,148.37901918173486,22016.333333333645,3,0.18298033333333333,0.1200646947455135,0.014415530924333337,3,12.554,1.3980482824280425,1.9545389999999998,3
cyber_loghub,Windows,1,q1_sqm,full,low,121800.0,0.0,0.0,3,193.33333333333334,9.451631252505218,89.33333333333336,3,410.3333333333333,57.735026918962575,3333.333333333333,3,38218.666666666664,66196.67246420574,4381999445.333334,3,0.0,0.0,0.0,3,122403.66666666667,51.85878260558636,2689.3333333334667,3,0.18205033333333334,0.11953618960102975,0.014288900624333335,3,10.942666666666668,1.5607310252997892,2.4358813333333313,3
cyber_loghub,Windows,1,q1_sqm,garbage,high,122033.0,0.0,0.0,3,281.3333333333333,4.61880215351701,21.33333333333337,3,564.0,84.870489570875,7203.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,122878.33333333333,80.25168741735693,6440.333333333165,3,0.25421,0.0009630202490082974,9.274080000000031e-07,3,15.424333333333331,5.3818642061402215,28.964462333333316,3
cyber_loghub,Windows,1,q1_sqm,garbage,low,122033.0,0.0,0.0,3,237.66666666666666,29.280255007997003,857.3333333333336,3,483.6666666666667,115.97557214057335,13450.333333333332,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,122754.33333333333,133.24538766251473,17754.333333333834,3,0.252722,0.0015989446519501407,2.5566239999999564e-06,3,12.938666666666668,2.432612244755281,5.9176023333333285,3
cyber_loghub,Windows,2,q2_wcp,context,high,1009.0,0.0,0.0,3,112.0,0.0,0.0,3,725.6666666666666,1.154700538379268,1.3333333333333712,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,1846.6666666666667,1.1547005383792186,1.3333333333332575,3,0.012069999999999999,1.3856406460551105e-05,1.920000000000024e-10,3,7.351,0.15703821191034978,0.024660999999999926,3
cyber_loghub,Windows,2,q2_wcp,context,low,1009.0,0.0,0.0,3,112.33333333333333,0.5773502691896278,0.3333333333333357,3,521.6666666666666,2.886751345948145,8.333333333333428,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,1643.0,3.4641016151377544,12.0,3,0.009626000000000001,4.1569219381653815e-05,1.728000000000063e-09,3,6.0889999999999995,0.2461544230762469,0.06059199999999995,3
